agency_id,agency_name,agency_url,agency_timezone,agency_lang
"LLKY","Local Link Kerry","https://www.transportforireland.ie","Europe/Dublin","EN"
"LLCK","Local Link Cork","https://www.transportforireland.ie","Europe/Dublin","EN"
"LLGY","Local Link Galway","https://www.transportforireland.ie","Europe/Dublin","EN"
"LLLW","Local Link Longford Westmeath Roscommon","https://www.transportforireland.ie","Europe/Dublin","EN"
"LLTY","Tipperary Local Link","https://www.transportforireland.ie","Europe/Dublin","EN"
"LLWD","Local Link Waterford","https://www.transportforireland.ie","Europe/Dublin","EN"
"LLWX","Local Link Wexford","https://www.transportforireland.ie","Europe/Dublin","EN"
"LLLMF","Local Link Louth Meath Fingal","https://www.transportforireland.ie","Europe/Dublin","EN"
"LLCWKK","Local Link Carlow Kilkenny Wicklow","https://www.transportforireland.ie","Europe/Dublin","EN"
"LLKE","Local Link Kildare","https://www.transportforireland.ie","Europe/Dublin","EN"
"LLLO","Local Link Laois Offaly","https://www.transportforireland.ie","Europe/Dublin","EN"
"LLLC","Local Link Limerick Clare","https://www.transportforireland.ie","Europe/Dublin","EN"
"49","Local Link Cavan Monaghan","https://www.transportforireland.ie","Europe/Dublin","EN"
"LLDL","Local Link Donegal Sligo Leitrim","https://www.transportforireland.ie","Europe/Dublin","EN"
