service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"daily","1","1","1","1","1","1","1","20200306","20201231"
"daily#1","1","1","1","1","1","1","1","20200306","20201231"
"daily#2","1","1","1","1","1","1","1","20200306","20201231"
"daily#3","1","1","1","1","1","1","1","20200306","20200430"
"Fri","0","0","0","0","1","0","0","20200306","20201231"
"Fri#1","0","0","0","0","1","0","0","20200306","20201231"
"Fri#10","0","0","0","0","1","0","0","20200306","20201031"
"Fri#11","0","0","0","0","1","0","0","20200306","20201231"
"Fri#12","0","0","0","0","1","0","0","20200306","20201231"
"Fri#2","0","0","0","0","1","0","0","20200306","20201231"
"Fri#3","0","0","0","0","1","0","0","20200306","20200902"
"Fri#4","0","0","0","0","1","0","0","20200306","20201231"
"Fri#5","0","0","0","0","1","0","0","20200306","20201231"
"Fri#6","0","0","0","0","1","0","0","20200306","20201231"
"Fri#7","0","0","0","0","1","0","0","20200306","20201231"
"Fri#8","0","0","0","0","1","0","0","20200306","20201231"
"Fri#9","0","0","0","0","1","0","0","20200306","20201231"
"MF-BH","1","1","1","1","1","0","0","20200306","20201031"
"MF-BH#1","1","1","1","1","1","0","0","20200306","20201231"
"MF-BH#2","1","1","1","1","1","0","0","20200306","20201231"
"MF-BH+ThFr","0","0","0","1","1","0","0","20200306","20201231"
"Mo-Fr","1","1","1","1","1","0","0","20200306","20201231"
"Mo-Fr#1","1","1","1","1","1","0","0","20200306","20200531"
"Mo-Fr#10","1","1","1","1","1","0","0","20200306","20201231"
"Mo-Fr#11","1","1","1","1","1","0","0","20200306","20201231"
"Mo-Fr#12","1","1","1","1","1","0","0","20200306","20201231"
"Mo-Fr#13","1","1","1","1","1","0","0","20200306","20201031"
"Mo-Fr#14","1","1","1","1","1","0","0","20200306","20201231"
"Mo-Fr#15","1","1","1","1","1","0","0","20200306","20201231"
"Mo-Fr#16","1","1","1","1","1","0","0","20200306","20201231"
"Mo-Fr#17","1","1","1","1","1","0","0","20200306","20200529"
"Mo-Fr#18","1","1","1","1","1","0","0","20200306","20201231"
"Mo-Fr#19","1","1","1","1","1","0","0","20200306","20201231"
"Mo-Fr#2","1","1","1","1","1","0","0","20200306","20201231"
"Mo-Fr#3","1","1","1","1","1","0","0","20200306","20201231"
"Mo-Fr#4","1","1","1","1","1","0","0","20200306","20201231"
"Mo-Fr#5","1","1","1","1","1","0","0","20200306","20201231"
"Mo-Fr#6","1","1","1","1","1","0","0","20200306","20201231"
"Mo-Fr#7","1","1","1","1","1","0","0","20200306","20200531"
"Mo-Fr#8","1","1","1","1","1","0","0","20200306","20201231"
