trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
"1.daily.49-391-y11-1.1.O","07:00:00","07:00:00","8420TR000218","1","","0","0","0.00"
"1.daily.49-391-y11-1.1.O","07:02:00","07:02:00","8420PB002885","2","","0","0","701867.62"
"1.daily.49-391-y11-1.1.O","07:05:00","07:05:00","842000006","3","","0","0","1403342.09"
"1.daily.49-391-y11-1.1.O","07:15:00","07:15:00","gen:57205:8147:0:1","4","","0","0","2104730.37"
"1.daily.49-391-y11-1.1.O","07:25:00","07:25:00","gen:57205:8148:0:1","5","","0","0","2801920.27"
"1.daily.49-391-y11-1.1.O","07:37:00","07:37:00","gen:57205:8149:0:1","6","","0","0","3494932.87"
"1.daily.49-391-y11-1.1.O","07:45:00","07:45:00","8420B3349801","7","","0","0","4176834.70"
"1.daily.49-391-y11-1.1.O","08:00:00","08:00:00","gen:57205:8150:0:1","8","","0","0","4854639.29"
"1.daily.49-391-y11-1.1.O","08:03:00","08:03:00","8420B3360901","9","","0","0","5519744.02"
"1.daily.49-391-y11-1.1.O","08:13:00","08:13:00","gen:57204:8151:0:1","10","","0","0","6188498.41"
"1.daily.49-391-y11-1.1.O","08:28:00","08:28:00","8410B6076301","11","","0","0","6851550.36"
"1.daily.49-391-y11-1.1.O","08:43:00","08:43:00","8400B6055501","12","","0","0","7511017.16"
"1.daily.49-854-y11-1.1.O","07:17:00","07:17:00","gen:57205:8153:0:1","1","","0","0","0.00"
"1.daily.49-854-y11-1.1.O","07:20:00","07:20:00","8420B4552901","2","","0","0","688483.46"
"1.daily.49-854-y11-1.1.O","07:22:00","07:22:00","842000090","3","","0","0","1376546.13"
"1.daily.49-854-y11-1.1.O","07:34:00","07:34:00","gen:57109:8154:0:1","4","","0","0","2065025.79"
"1.daily.49-854-y11-1.1.O","07:47:00","07:47:00","gen:57205:8155:0:1","5","","0","0","2749923.62"
"1.daily.49-854-y11-1.1.O","07:57:00","07:57:00","8320B4502301","6","","0","0","3441048.55"
"1.daily.49-854-y11-1.1.O","07:58:00","07:58:00","gen:57109:8156:0:1","7","","0","0","4124631.91"
"1.daily.49-854-y11-1.1.O","08:04:00","08:04:00","8420B4502201","8","","0","0","4811186.46"
"1.daily.49-854-y11-1.1.O","08:24:00","08:24:00","842000129","9","","0","0","5491328.41"
"1.daily.49-854-y11-1.1.O","08:29:00","08:29:00","842000001","10","","0","0","6160273.50"
"1.daily.49-954-y11-1.1.O","08:25:00","08:25:00","853000121","1","","0","0","0.00"
"1.daily.49-954-y11-1.1.O","08:32:00","08:32:00","8530PB000323","2","","0","0","654385.87"
"1.daily.49-954-y11-1.1.O","08:35:00","08:35:00","gen:57402:2204:0:1","3","","0","0","1303449.41"
"1.daily.49-954-y11-1.1.O","08:40:00","08:40:00","gen:57402:3430:0:1","4","","0","0","1953464.93"
"1.daily.49-954-y11-1.1.O","08:45:00","08:45:00","gen:57402:7993:0:1","5","","0","0","2601480.68"
"1.daily.49-954-y11-1.1.O","08:50:00","08:50:00","gen:57402:7994:0:1","6","","0","0","3249650.36"
"1.daily.49-954-y11-1.1.O","09:00:00","09:00:00","gen:57402:7996:0:1","7","","0","0","3894273.84"
"1.daily.49-982-y11-4.3.O","09:30:00","09:30:00","8510B5550804","1","","0","0","0.00"
"1.daily.49-982-y11-4.3.O","09:32:00","09:32:00","8510B5595902","2","","0","0","592800.51"
"1.daily.49-982-y11-4.3.O","09:32:00","09:32:00","8510B558781","3","","0","0","1186529.32"
"1.daily.49-982-y11-4.3.O","09:35:00","09:35:00","8510B524871","4","","0","0","1780054.50"
"1.daily.49-982-y11-4.3.O","09:40:00","09:40:00","8510B5592301","5","","0","0","2376202.35"
"1.daily.49-982-y11-4.3.O","09:41:00","09:41:00","851000005","6","","0","0","2966659.51"
"1.daily.49-982-y11-4.3.O","09:42:00","09:42:00","8510B5550902","7","","0","0","3557207.06"
"1.daily.49-982-y11-4.3.O","09:47:00","09:47:00","8510B5555801","8","","0","0","4146486.09"
"1.daily.49-982-y11-4.3.O","09:55:00","09:55:00","8510B5576201","9","","0","0","4733701.03"
"1.daily.49-982-y11-4.3.O","09:56:00","09:56:00","8510B5576401","10","","0","0","5319103.18"
"1.daily.49-982-y11-4.3.O","09:59:00","09:59:00","8510B5594601","11","","0","0","5902433.91"
"1.daily.49-982-y11-4.3.O","10:00:00","10:00:00","851000030","12","","0","0","6484065.99"
"1.daily.49-982-y11-4.3.O","10:05:00","10:05:00","851000042","13","","0","0","7072609.29"
"1.daily.49-982-y11-4.3.O","10:08:00","10:08:00","851000093","14","","0","0","7660110.83"
"1.daily.49-982-y11-4.3.O","10:10:00","10:10:00","8510B5551301","15","","0","0","8247222.79"
"1.daily.49-982-y11-4.3.O","10:13:00","10:13:00","8510B555701","16","","0","0","8837058.00"
"1.daily.49-982-y11-4.3.O","10:15:00","10:15:00","8510B1408902","17","","0","0","9429295.39"
"1.daily.49-982-y11-4.3.O","10:25:00","10:25:00","851000083","18","","0","0","10022005.09"
"1.daily.49-982-y11-4.3.O","10:30:00","10:30:00","851000084","19","","0","0","10616891.81"
"1.daily.49-982-y11-4.3.O","10:40:00","10:40:00","848000013","20","","0","0","11218918.55"
"1.daily.49-982-y11-4.3.O","10:45:00","10:45:00","8530B6358101","21","","0","0","11819961.08"
"1.daily.49-982-y11-4.3.O","10:46:00","10:46:00","853000100","22","","0","0","12419303.53"
"1.daily.49-982-y11-4.3.O","10:48:00","10:48:00","8530B6358001","23","","0","0","13018986.36"
"1.daily.49-982-y11-4.3.O","10:51:00","10:51:00","8530B1400901","24","","0","0","13622756.65"
"1.daily.49-982-y11-4.3.O","10:55:00","10:55:00","8530B1324801","25","","0","0","14229903.76"
"1.daily.49-982-y11-4.3.O","11:07:00","11:07:00","853000260","26","","0","0","14838027.70"
"1.daily.49-982-y11-4.3.O","11:10:00","11:10:00","853000259","27","","0","0","15441087.52"
"1.Fri.49-115-D-y11-1.2.I","13:30:00","13:30:00","8310B1030601","1","","0","0","0.00"
"1.Fri.49-115-D-y11-1.2.I","13:45:00","13:45:00","8310B103141","2","","0","0","724439.08"
"1.Fri.49-115-D-y11-1.2.I","13:55:00","13:55:00","8310B1320301","3","","0","0","1443485.61"
"1.Fri.49-115-D-y11-1.2.I","14:05:00","14:05:00","831000123","4","","0","0","2163756.22"
"1.Fri.49-115-D-y11-1.2.I","14:20:00","14:20:00","8310B1328701","5","","0","0","2888527.37"
"1.Fri.49-183-y11-2.7.O","21:00:00","21:00:00","835000022","1","","0","0","0.00"
"1.Fri.49-183-y11-2.7.O","21:15:00","21:15:00","gen:57112:7909:0:2","2","","0","0","777816.52"
"1.Fri.49-183-y11-2.7.O","21:19:00","21:19:00","835000012","3","","0","0","1559955.42"
"1.Fri.49-183-y11-2.7.O","21:25:00","21:25:00","835000094","4","","0","0","2342447.06"
"1.Fri.49-183-y11-2.7.O","21:39:00","21:39:00","8350B102391","5","","0","0","3141968.68"
"1.Fri.49-183-y11-2.7.O","21:44:00","21:44:00","8350B1024101","6","","0","0","3934915.04"
"1.Fri.49-183-y11-2.7.O","21:48:00","21:48:00","8350B1024201","7","","0","0","4728666.19"
"1.Fri.49-183-y11-2.7.O","21:49:00","21:49:00","8350B19301","8","","0","0","5521359.36"
"1.Fri.49-183-y11-2.7.O","21:52:00","21:52:00","835000088","9","","0","0","6313727.49"
"1.Fri.49-183-y11-2.7.O","21:54:00","21:54:00","8350B1024301","10","","0","0","7106499.08"
"1.Fri.49-183-y11-2.7.O","21:55:00","21:55:00","8350B1355501","11","","0","0","7899315.36"
"1.Fri.49-183-y11-2.7.O","21:57:00","21:57:00","835000091","12","","0","0","8692539.98"
"1.Fri.49-183-y11-2.7.O","22:00:00","22:00:00","8350B1355601","13","","0","0","9486311.88"
"1.Fri.49-24-y11-1.1.O","13:30:00","13:30:00","8290B152151","1","","0","0","0.00"
"1.Fri.49-24-y11-1.1.O","13:40:00","13:40:00","8290B5577302","2","","0","0","664613.33"
"1.Fri.49-24-y11-1.1.O","13:50:00","13:50:00","8290B5575602","3","","0","0","1326761.99"
"1.Fri.49-24-y11-1.1.O","13:55:00","13:55:00","8290B1357704","4","","0","0","1983873.82"
"1.Fri.49-24-y11-1.1.O","13:57:00","13:57:00","829000102","5","","0","0","2638046.06"
"1.Fri.49-271-y11-2.3.O","17:45:00","17:45:00","gen:57402:8056:0:1","1","","0","0","0.00"
"1.Fri.49-271-y11-2.3.O","17:55:00","17:55:00","8530B6000601","2","","0","0","591098.23"
"1.Fri.49-271-y11-2.3.O","18:05:00","18:05:00","8530PB000430","3","","0","0","1186435.75"
"1.Fri.49-271-y11-2.3.O","18:10:00","18:10:00","853000117","4","","0","0","1778898.77"
"1.Fri.49-271-y11-2.3.O","18:25:00","18:25:00","853000053","5","","0","0","2385196.96"
"1.Fri.49-271-y11-2.3.O","18:55:00","18:55:00","853000270","6","","0","0","3025693.22"
"1.Fri.49-271-y11-2.3.O","19:00:00","19:00:00","gen:57402:1:0:1","7","","0","0","3644211.47"
"1.Fri.49-271-y11-2.3.O","19:20:00","19:20:00","853000331","8","","0","0","4278437.35"
"1.Fri.49-287-A-y11-3.1.O","09:30:00","09:30:00","839000113","1","","0","0","0.00"
"1.Fri.49-287-A-y11-3.1.O","09:45:00","09:45:00","gen:57203:8091:0:1","2","","0","0","614975.65"
"1.Fri.49-287-A-y11-3.1.O","10:00:00","10:00:00","8390PB002327","3","","0","0","1229727.25"
"1.Fri.49-287-A-y11-3.1.O","10:20:00","10:20:00","8390B6372901","4","","0","0","1859425.33"
"1.Fri.49-368-y11-2.8.O","23:40:00","23:40:00","8340B3555202","1","","0","0","0.00"
"1.Fri.49-368-y11-2.8.O","23:50:00","23:50:00","8340B3512501","2","","0","0","791853.88"
"1.Fri.49-368-y11-2.8.O","23:55:00","23:55:00","8340LL10343","3","","0","0","1573210.43"
"1.Fri.49-368-y11-2.8.O","24:00:00","24:00:00","8340B3004201","4","","0","0","2354469.93"
"1.Fri.49-368-y11-2.8.O","24:05:00","24:05:00","8340B355461","5","","0","0","3123920.65"
"1.Fri.49-369-y11-1.1.O","10:30:00","10:30:00","8340B3512001","1","","0","0","0.00"
"1.Fri.49-369-y11-1.1.O","10:35:00","10:35:00","834000472","2","","0","0","774070.12"
"1.Fri.49-369-y11-1.1.O","10:40:00","10:40:00","834000474","3","","0","0","1549464.24"
