from_stop_id,to_stop_id,transfer_type,min_transfer_time
"8380B1553801","8380B1553501","2","0"
"8340LL10363","834LL10364","2","0"
"8340LL10363","8340LL10365","2","600"
"834LL10364","8340LL10363","2","0"
"834LL10364","8340LL10365","2","600"
"834000019","834000020","2","0"
"834000020","834000019","2","0"
"826000007","826000008","2","0"
"826000008","826000007","2","0"
"847000009","847000010","2","0"
"847000010","847000009","2","0"
"8380B2324901","8380B215271","2","60"
"8380B2361202","8380B2361201","2","0"
"8380B2361201","8380B2361202","2","0"
"8380B2360703","8380B215381","2","300"
"8380B2360603","8380B2360601","2","0"
"8380B2360603","8380B215261","2","60"
"8380B2360601","8380B2360603","2","0"
"8380B2360601","8380B215261","2","60"
"8290B1357704","8290B1357701","2","0"
"8290B1357704","8290B1358001","2","480"
"8290B1357704","8290B1357401","2","480"
"8290B1357701","8290B1357704","2","0"
"8290B1357701","8290B1358001","2","480"
"8290B1357701","8290B1357401","2","480"
"8290B5575602","8290B5575601","2","0"
"8290B5575601","8290B5575602","2","0"
"8280B1552501","8280B1554101","2","0"
"8280B1552501","8280B1553201","2","0"
"8260B104001","826000061","2","600"
"8320B1359702","8320B1359701","2","0"
"8320B1359701","8320B1359702","2","0"
"8340B3512502","8340B3512501","2","0"
"8340B3512501","8340B3512502","2","0"
"8340B3555202","8340B3555201","2","0"
"8340B3555201","8340B3555202","2","0"
"8340B3004202","8340B3004201","2","0"
"8340B3004201","8340B3004202","2","0"
"8340B3512001","8340B136281","2","60"
"8310B1320302","8310B1320301","2","0"
"8310B1320301","8310B1320302","2","0"
"8480B571021","8480B571131","2","0"
"8480B571131","8480B571021","2","0"
"8480B6375901","8480B6375902","2","0"
"8480B6375902","8480B6375901","2","0"
"8480B557221","8480B5572001","2","0"
"8480B5572001","8480B557221","2","0"
"8470B6353504","8470B6353502","2","0"
"8470B6353502","8470B6353504","2","0"
"8480B556261","8480B5578101","2","0"
"8480B5578101","8480B556261","2","0"
"8480B5578301","8480B557841","2","0"
"8480B557841","8480B5578301","2","0"
"8470B5554201","8470B5321902","2","660"
"8470B5554201","8470B5321901","2","660"
"8510B5594601","8510B588811","2","0"
"8510B588811","8510B5594601","2","0"
"8530B1559601","8530B158221","2","0"
"8530B158221","8530B1559601","2","0"
"8530B1522701","8530PB000401","2","30"
"8530B1558201","853000034","2","0"
"8540B1559201","8540LL10178","2","540"
"8540B1559301","8540B153941","2","60"
"8520B1358601","8520B1358603","2","0"
"8520B1358601","852000062","2","600"
"8520B1358601","852000063","2","600"
"8520B1358601","852000068","2","420"
"8520B1358601","852000067","2","420"
"8520B1358603","8520B1358601","2","0"
"8520B1358603","852000062","2","600"
"8520B1358603","852000063","2","600"
"8520B1358603","852000068","2","420"
"8520B1358603","852000067","2","420"
"8520B5573001","8520B557461","2","60"
"8500B141721","8500B1789201","2","0"
"8500B1789201","8500B141721","2","0"
"8500B1780002","8500B1780001","2","0"
"8500B1780001","8500B1780002","2","0"
"8510B553891","8510B553811","2","120"
"8500B5558801","8500B141731","2","0"
"8500B5558801","850000025","2","120"
"8500B5558801","850000026","2","120"
"8500B141731","8500B5558801","2","0"
"8500B141731","850000025","2","120"
"8500B141731","850000026","2","120"
"8500B5557901","850000009","2","300"
"8390B6372902","8390B6372901","2","0"
"8390B6372901","8390B6372902","2","0"
"8380B2552003","8380B2552001","2","0"
"8380B2552001","8380B2552003","2","0"
"8380B3353201","8380PB000178","2","0"
"8390B336001","8390B3328001","2","0"
"8390B3328001","8390B336001","2","0"
"8390B335761","8390B3577001","2","0"
"8390B3577001","8390B335761","2","0"
"8390B5331801","839000109","2","840"
"8470B3344502","8470B3344501","2","0"
"8470B3344501","8470B3344502","2","0"
"8470B5328701","8470B5328702","2","0"
"8470B5328702","8470B5328701","2","0"
"8470B5321902","8470B5554201","2","660"
"8470B5321902","8470B5321901","2","0"
"8470B5321901","8470B5554201","2","660"
"8470B5321901","8470B5321902","2","0"
"8430B3511101","8430B331951","2","60"
"8450B3301002","8450B3301001","2","0"
"8450B3301001","8450B3301002","2","0"
"8450B2163201","8450B3561701","2","0"
"8420B155531","8420B4552901","2","0"
"8420B155531","842000090","2","240"
"8420B4552901","8420B155531","2","0"
"8420B4552901","842000090","2","240"
"8210B3555602","8210B3555604","2","0"
"8210B3555604","8210B3555602","2","0"
"8240DB004910","8240DB004909","2","60"
"8240DB004910","8240DB004911","2","60"
"8240DB005075","8240DB003689","2","240"
"8240DB005075","8240DB003679","2","240"
"8240DB003689","8240DB005075","2","240"
"8240DB003689","8240DB003679","2","60"
"8240DB003689","8240DB003690","2","180"
"8240DB003679","8240DB005075","2","240"
"8240DB003679","8240DB003689","2","60"
"8240DB003679","8240DB003690","2","180"
"8240DB003690","8240DB003689","2","180"
"8240DB003690","8240DB003679","2","180"
"8240DB003690","8240DB004330","2","300"
"8240DB004957","8240DB004843","2","60"
"8240DB004909","8240DB004910","2","60"
"8240DB004909","8240DB004911","2","0"
"8240DB004330","8240DB003690","2","300"
"8240000553","8240B1328001","2","1500"
"8240000553","8240000554","2","1500"
"8240000553","8240000552","2","0"
"8240B1328001","8240000553","2","1500"
"8240B1328001","8240000554","2","0"
"8240B1328001","8240000552","2","1500"
"8240000554","8240000553","2","1500"
"8240000554","8240B1328001","2","0"
"8240000554","8240000552","2","1500"
"8240B133051","8240B1330502","2","0"
"8240B1330502","8240B133051","2","0"
"8240B1347402","8240B1347401","2","0"
"8240B1347401","8240B1347402","2","0"
"853000034","8530B1558201","2","0"
"8240DB004843","8240DB004957","2","60"
"8240DB004911","8240DB004910","2","60"
"8240DB004911","8240DB004909","2","0"
"853000043","853000242","2","5940"
"8280B1554101","8280B1552501","2","0"
"8280B1554101","8280B1553201","2","0"
"8280B1553201","8280B1552501","2","0"
"8280B1553201","8280B1554101","2","0"
"8530B1324801","8530B140811","2","60"
"8410B335731","8410B6356601","2","0"
