route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"49-115-D-y11-1","Fri","1.Fri.49-115-D-y11-1.2.I","49-115-D-y11-1.2.I","Longwood, stop 132871","1"
"49-115-D-y11-1","Mo-Fr","1.Mo-Fr.49-115-D-y11-1.1.O","49-115-D-y11-1.1.O","Ring Road, stop 135881","0"
"49-115-D-y11-1","Mo-Fr","2.Mo-Fr.49-115-D-y11-1.2.I","49-115-D-y11-1.2.I","Longwood, stop 132871","1"
"49-115-D-y11-1","Mo-Fr","3.Mo-Fr.49-115-D-y11-1.2.I","49-115-D-y11-1.2.I","Longwood, stop 132871","1"
"49-176-y11-2","Mo-Fr#1","1.Mo-Fr.49-176-y11-2.7.O","49-176-y11-2.7.O","Monaghan Inst, stop 10163","0"
"49-176-y11-2","Sat","1.Sat.49-176-y11-2.8.O","49-176-y11-2.8.O","Monaghan","0"
"49-176-y11-2","Mo-Fr#1","10.Mo-Fr.49-176-y11-2.6.I","49-176-y11-2.6.I","Cavan General, stop 108161","1"
"49-176-y11-2","Sat","10.Sat.49-176-y11-2.5.I","49-176-y11-2.5.I","Cavan General, stop 108161","1"
"49-176-y11-2","Mo-Fr#1","2.Mo-Fr.49-176-y11-2.2.O","49-176-y11-2.2.O","Monaghan","0"
"49-176-y11-2","Sat","2.Sat.49-176-y11-2.2.O","49-176-y11-2.2.O","Monaghan","0"
"49-176-y11-2","Mo-Fr#1","3.Mo-Fr.49-176-y11-2.2.O","49-176-y11-2.2.O","Monaghan","0"
"49-176-y11-2","Sat","3.Sat.49-176-y11-2.2.O","49-176-y11-2.2.O","Monaghan","0"
"49-176-y11-2","Mo-Fr#1","4.Mo-Fr.49-176-y11-2.2.O","49-176-y11-2.2.O","Monaghan","0"
"49-176-y11-2","Sat","4.Sat.49-176-y11-2.2.O","49-176-y11-2.2.O","Monaghan","0"
"49-176-y11-2","Mo-Fr#1","5.Mo-Fr.49-176-y11-2.2.O","49-176-y11-2.2.O","Monaghan","0"
"49-176-y11-2","Sat","5.Sat.49-176-y11-2.2.O","49-176-y11-2.2.O","Monaghan","0"
"49-176-y11-2","Mo-Fr#1","6.Mo-Fr.49-176-y11-2.4.I","49-176-y11-2.4.I","Cavan General, stop 108161","1"
"49-176-y11-2","Sat","6.Sat.49-176-y11-2.4.I","49-176-y11-2.4.I","Cavan General, stop 108161","1"
"49-176-y11-2","Mo-Fr#1","7.Mo-Fr.49-176-y11-2.5.I","49-176-y11-2.5.I","Cavan General, stop 108161","1"
"49-176-y11-2","Sat","7.Sat.49-176-y11-2.5.I","49-176-y11-2.5.I","Cavan General, stop 108161","1"
"49-176-y11-2","Mo-Fr#1","8.Mo-Fr.49-176-y11-2.5.I","49-176-y11-2.5.I","Cavan General, stop 108161","1"
"49-176-y11-2","Sat","8.Sat.49-176-y11-2.5.I","49-176-y11-2.5.I","Cavan General, stop 108161","1"
"49-176-y11-2","Mo-Fr#1","9.Mo-Fr.49-176-y11-2.3.I","49-176-y11-2.3.I","Cavan General, stop 108161","1"
"49-176-y11-2","Sat","9.Sat.49-176-y11-2.5.I","49-176-y11-2.5.I","Cavan General, stop 108161","1"
"49-183-y11-2","Fri#1","1.Fri.49-183-y11-2.7.O","49-183-y11-2.7.O","Colley Row, stop 135561","0"
"49-183-y11-2","Mo-Fr#2","1.Mo-Fr.49-183-y11-2.6.O","49-183-y11-2.6.O","Colley Row, stop 135561","0"
"49-183-y11-2","Sat#1","1.Sat.49-183-y11-2.6.O","49-183-y11-2.6.O","Colley Row, stop 135561","0"
"49-183-y11-2","Sun","1.Sun.49-183-y11-2.6.O","49-183-y11-2.6.O","Colley Row, stop 135561","0"
"49-183-y11-2","Sat#1","10.Sat.49-183-y11-2.8.I","49-183-y11-2.8.I","","1"
"49-183-y11-2","Sat#1","11.Sat.49-183-y11-2.9.I","49-183-y11-2.9.I","","1"
"49-183-y11-2","Sat#1","12.Sat.49-183-y11-2.5.I","49-183-y11-2.5.I","","1"
"49-183-y11-2","Fri#1","2.Fri.49-183-y11-2.7.O","49-183-y11-2.7.O","Colley Row, stop 135561","0"
"49-183-y11-2","Mo-Fr#2","2.Mo-Fr.49-183-y11-2.6.O","49-183-y11-2.6.O","Colley Row, stop 135561","0"
"49-183-y11-2","Sat#1","2.Sat.49-183-y11-2.6.O","49-183-y11-2.6.O","Colley Row, stop 135561","0"
"49-183-y11-2","Sun","2.Sun.49-183-y11-2.3.O","49-183-y11-2.3.O","Colley Row, stop 135561","0"
"49-183-y11-2","Fri#1","3.Fri.49-183-y11-2.8.I","49-183-y11-2.8.I","","1"
"49-183-y11-2","Mo-Fr#2","3.Mo-Fr.49-183-y11-2.6.O","49-183-y11-2.6.O","Colley Row, stop 135561","0"
"49-183-y11-2","Sat#1","3.Sat.49-183-y11-2.6.O","49-183-y11-2.6.O","Colley Row, stop 135561","0"
"49-183-y11-2","Sun","3.Sun.49-183-y11-2.1.O","49-183-y11-2.1.O","Colley Row, stop 135561","0"
"49-183-y11-2","Fri#1","4.Fri.49-183-y11-2.9.I","49-183-y11-2.9.I","","1"
"49-183-y11-2","Mo-Fr#2","4.Mo-Fr.49-183-y11-2.6.O","49-183-y11-2.6.O","Colley Row, stop 135561","0"
"49-183-y11-2","Sat#1","4.Sat.49-183-y11-2.6.O","49-183-y11-2.6.O","Colley Row, stop 135561","0"
"49-183-y11-2","Sun","4.Sun.49-183-y11-2.8.I","49-183-y11-2.8.I","","1"
"49-183-y11-2","Fri#1","5.Fri.49-183-y11-2.9.I","49-183-y11-2.9.I","","1"
"49-183-y11-2","Mo-Fr#2","5.Mo-Fr.49-183-y11-2.8.I","49-183-y11-2.8.I","","1"
"49-183-y11-2","Sat#1","5.Sat.49-183-y11-2.7.O","49-183-y11-2.7.O","Colley Row, stop 135561","0"
"49-183-y11-2","Sun","5.Sun.49-183-y11-2.4.I","49-183-y11-2.4.I","","1"
"49-183-y11-2","Mo-Fr#2","6.Mo-Fr.49-183-y11-2.8.I","49-183-y11-2.8.I","","1"
"49-183-y11-2","Sat#1","6.Sat.49-183-y11-2.7.O","49-183-y11-2.7.O","Colley Row, stop 135561","0"
"49-183-y11-2","Sun","6.Sun.49-183-y11-2.4.I","49-183-y11-2.4.I","","1"
"49-183-y11-2","Mo-Fr#2","7.Mo-Fr.49-183-y11-2.8.I","49-183-y11-2.8.I","","1"
"49-183-y11-2","Sat#1","7.Sat.49-183-y11-2.8.I","49-183-y11-2.8.I","","1"
"49-183-y11-2","Sat#1","8.Sat.49-183-y11-2.8.I","49-183-y11-2.8.I","","1"
"49-183-y11-2","Sat#1","9.Sat.49-183-y11-2.8.I","49-183-y11-2.8.I","","1"
"49-192-y11-1","Mo-Fr","1.Mo-Fr.49-192-y11-1.3.O","49-192-y11-1.3.O","Balbriggan Rail Station","0"
"49-192-y11-1","Mo-Fr","2.Mo-Fr.49-192-y11-1.3.O","49-192-y11-1.3.O","Balbriggan Rail Station","0"
"49-192-y11-1","Mo-Fr","3.Mo-Fr.49-192-y11-1.3.O","49-192-y11-1.3.O","Balbriggan Rail Station","0"
"49-192-y11-1","Mo-Fr","4.Mo-Fr.49-192-y11-1.3.O","49-192-y11-1.3.O","Balbriggan Rail Station","0"
"49-192-y11-1","Mo-Fr","5.Mo-Fr.49-192-y11-1.1.I","49-192-y11-1.1.I","Mountain View","1"
"49-192-y11-1","Mo-Fr","6.Mo-Fr.49-192-y11-1.1.I","49-192-y11-1.1.I","Mountain View","1"
"49-192-y11-1","Mo-Fr","7.Mo-Fr.49-192-y11-1.1.I","49-192-y11-1.1.I","Mountain View","1"
"49-192-y11-1","Mo-Fr","8.Mo-Fr.49-192-y11-1.1.I","49-192-y11-1.1.I","Mountain View","1"
"49-195-y11-1","Mo-Fr","1.Mo-Fr.49-195-y11-1.3.O","49-195-y11-1.3.O","","0"
"49-195-y11-1","Sat#2","1.Sat.49-195-y11-1.1.O","49-195-y11-1.1.O","","0"
"49-195-y11-1","Mo-Fr","10.Mo-Fr.49-195-y11-1.5.I","49-195-y11-1.5.I","Balbriggan Station, stop 134741","1"
"49-195-y11-1","Sat#2","10.Sat.49-195-y11-1.5.I","49-195-y11-1.5.I","Balbriggan Station, stop 134741","1"
"49-195-y11-1","Mo-Fr","2.Mo-Fr.49-195-y11-1.3.O","49-195-y11-1.3.O","","0"
"49-195-y11-1","Sat#2","2.Sat.49-195-y11-1.1.O","49-195-y11-1.1.O","","0"
"49-195-y11-1","Mo-Fr","3.Mo-Fr.49-195-y11-1.3.O","49-195-y11-1.3.O","","0"
"49-195-y11-1","Sat#2","3.Sat.49-195-y11-1.1.O","49-195-y11-1.1.O","","0"
"49-195-y11-1","Mo-Fr","4.Mo-Fr.49-195-y11-1.3.O","49-195-y11-1.3.O","","0"
"49-195-y11-1","Sat#2","4.Sat.49-195-y11-1.1.O","49-195-y11-1.1.O","","0"
"49-195-y11-1","Mo-Fr","5.Mo-Fr.49-195-y11-1.2.O","49-195-y11-1.2.O","","0"
"49-195-y11-1","Mo-Fr","6.Mo-Fr.49-195-y11-1.4.I","49-195-y11-1.4.I","Balbriggan Station, stop 134741","1"
"49-195-y11-1","Mo-Fr","7.Mo-Fr.49-195-y11-1.5.I","49-195-y11-1.5.I","Balbriggan Station, stop 134741","1"
"49-195-y11-1","Sat#2","7.Sat.49-195-y11-1.5.I","49-195-y11-1.5.I","Balbriggan Station, stop 134741","1"
"49-195-y11-1","Mo-Fr","8.Mo-Fr.49-195-y11-1.5.I","49-195-y11-1.5.I","Balbriggan Station, stop 134741","1"
"49-195-y11-1","Sat#2","8.Sat.49-195-y11-1.5.I","49-195-y11-1.5.I","Balbriggan Station, stop 134741","1"
"49-195-y11-1","Mo-Fr","9.Mo-Fr.49-195-y11-1.5.I","49-195-y11-1.5.I","Balbriggan Station, stop 134741","1"
"49-195-y11-1","Sat#2","9.Sat.49-195-y11-1.5.I","49-195-y11-1.5.I","Balbriggan Station, stop 134741","1"
"49-196-y11-1","Mo-Sa","1.Mo-Sa.49-196-y11-1.1.O","49-196-y11-1.1.O","Swords Pavilions SC, stop 4330","0"
"49-196-y11-1","Mo-Sa","10.Mo-Sa.49-196-y11-1.1.O","49-196-y11-1.1.O","Swords Pavilions SC, stop 4330","0"
"49-196-y11-1","Mo-Sa","11.Mo-Sa.49-196-y11-1.1.O","49-196-y11-1.1.O","Swords Pavilions SC, stop 4330","0"
"49-196-y11-1","Mo-Sa","12.Mo-Sa.49-196-y11-1.1.O","49-196-y11-1.1.O","Swords Pavilions SC, stop 4330","0"
"49-196-y11-1","Mo-Sa","13.Mo-Sa.49-196-y11-1.1.O","49-196-y11-1.1.O","Swords Pavilions SC, stop 4330","0"
"49-196-y11-1","Mo-Sa","14.Mo-Sa.49-196-y11-1.1.O","49-196-y11-1.1.O","Swords Pavilions SC, stop 4330","0"
