,townland,town,population
10086,Abbey Island,Ballyshannon Rural,10
10087,Abbeylands,Ballyshannon Rural,121
10088,Adderville,Straid,54
10089,Adderwal,Gleann Léithín,9
10090,Admiran,Stranorlar,364
10091,Aghadachor,Glen,15
10092,Aghadaghly,Grianfort,7
10093,Aghadowey,Ballintra,28
10094,Aghadreenan,Rosnakill,44
10095,Aghafoy,Pettigoe,4
10096,Aghaglassan,Gleneely,65
10098,Aghalattive,Ards,48
10099,Aghalatty,Carraig Airt,36
10102,Aghangaddy Glebe,Rathmelton,127
10103,Aghanursan,Millford,29
10104,Aghasheil,Stranorlar,19
10105,Aghatubbrid,Gleneely,15
10106,Aghavannan Far,Rathmullan,34
10107,Aghavannan Near,Rathmullan,23
10108,Aghaveagh,Allt na Péiste,22
10109,Aghawee,Clonleigh South,25
10110,Aghawoney,Ballyarr,30
10111,Aghayeevoge,Killybegs,112
10112,Aghilly and Lenynarnan,Buncrana Rural,107
10113,Aghlehard,Magheraboy,77
10114,Aghlem,Tullynaught,18
10115,Aghnahoo Glebe,Templecarn,29
10116,Aghnakeeragh,Raphoe,33
10117,Aghragh,Gleann Cholm Cille,48
10118,Aighan,Dunkineely,28
10119,Aighe,Gleann Gheis,29
10120,Alla,Ballyshannon Rural,12
10121,Alt Lower,Urney West,45
10122,Alt Upper,Urney West,95
10123,Altadoo,Donegal,17
10125,Altaghaderry,Killea,461
10126,Altahalla,Straid,153
10128,Altaskin,St. Johnstown,24
10129,Altatraght,An Clochán,8
10131,Altcor,Bonnyglen,9
10132,Altilow,Haugh,40
10134,Altlahan,An Clochán,35
10135,Altnagapple,Maol Mosóg,7
10136,Altnapaste,Allt na Péiste,27
10137,Annagary,Anagaire,383
10138,Annagh,Straid,167
10139,Annaslee,Fahan,17
10140,Anny Far and Near,Cnoc Colbha,27
10141,Aphort (Aran Island),Árainn Mhór,49
10144,Ardaganny,Corravaddy,42
10145,Ardagh (ED Ballyliffin),Ballyliffin,81
10146,Ardagh (ED Treantamucklagh),Treantaghmucklagh,49
10147,Ardaghy Glebe,Inver,58
10148,Ardahee,Ballymacool,11
10149,Ardara,Ard an Rátha,548
10150,Ardaravan,Buncrana Urban,2229
10151,Ardarawer,Castlewray,566
10152,Ardatowel,Tawnawully,41
10155,Ardbane (ED Eanymore),Eanymore,7
10156,Ardbane (ED Rosguill),Ros Goill,23
10159,Ardee,Newtown Cunningham,44
10160,Ardeelan Lower,Ballintra,21
10162,Ardeevin,Tawnawully,37
10163,Ardeskin,Donegal,201
10164,Ardfarn,Bundoran Rural,150
10165,Ardgillew,Cavangarden,12
10166,Ardglass,Grianfort,35
10167,Ardinawark,Tawnawully,75
10168,Ardlenagh,Donegal,18
10169,Ardlougher,Maol Mosóg,10
10170,Ardloughill,Carrickboy,32
10171,Ardmalin,Ardmalin,366
10172,Ardmeen,Cró Bheithe,21
10173,Ardmore,Kilderry,359
10174,Ardnableask,Tawnawully,10
10175,Ardnaditian,Manorcunningham,41
10176,Ardnagalliagh,Ballintra,10
10177,Ardnagannagh,Gleneely,28
10178,Ardnagappary,Machaire Chlochair,327
10180,Ardnaglass (ED Clonleigh South),Clonleigh South,25
10181,Ardnaglass (ED Pettigoe),Pettigoe,80
10184,Ardnasool,Clonleigh North,38
10185,Ardpattan,Cavangarden,9
10186,Ardrumman,Castlewray,98
10188,Ards Beg,Gort an Choirce,316
10189,Ards Big,Rathmelton,17
10190,Ards Little,Rathmelton,22
10191,Ards More,Gort an Choirce,88
10194,Arduns,Machaire Chlochair,50
10195,Ardvally,Maol Mosóg,12
10196,Ardvarnock Glebe,Figart,19
10197,Arlands,Inis Mhic an Doirn,75
10198,Arryheernabin,Fánaid Thuaidh,13
10200,Altashane or Cabadooey,Carndonagh,63
10201,Attatantee,Machaire Chlochair,7
10204,Aughagault Big,Convoy,64
10206,Aughnish,Rathmelton,138
10208,Aught,Three Trees,233
10210,Avaltygort,Gleneely,51
10212,Backland,Clonleigh South,6
10213,Backlees,Stranorlar,17
10215,Ballagh,Malin,35
10216,Ballaghderg,Gortnavern,464
10217,Ballard,Cill Ghabhlaigh,20
10218,Balleeghan (ED Greencastle),Greencastle,112
10219,Balleeghan (ED Manorcunningham),Manorcunningham,61
10220,Balleeghan Lower,Carthage,70
10221,Balleeghan Upper,Carthage,92
10222,Balleelaghan,Malin,40
10223,Ballina,Rosnakill,18
10224,Ballincrick and Ballynabrocky,Fánaid Thuaidh,59
10225,Ballindrait,Clonleigh North,77
10226,Ballinlough,Mintiaghs,43
10227,Ballintemple,Na Croisbhealaí,93
10228,Ballintlieve,Mintiaghs,45
10230,Ballintra (Aran Island),Árainn Mhór,89
10231,Ballintra (ED Ballintra),Ballintra,115
10232,Balloor,Fánaid Thuaidh,31
10234,Ballyannan,Desertegny,67
10235,Ballyara,Killybegs,41
10236,Ballyargus,Redcastle,229
10237,Ballyarr,Ballyarr,99
10238,Ballyarr Glebe,Ballyarr,95
10239,Ballyarrell,Gleneely,58
10241,Ballybegly,Newtown Cunningham,67
