,townland,town,population,lat,lng
0,Abbey Island,Ballyshannon Rural,10.0,54.5100562,-8.195736816089788
1,Abbeylands,Ballyshannon Rural,121.0,54.5130054,-8.204606285120382
2,Adderville,Straid,54.0,55.2391118,-7.43477101619029
3,Adderwal,Gleann Léithín,9.0,54.90582095,-8.16839922450579
4,Admiran,Stranorlar,364.0,54.81115715,-7.7655465087402975
5,Aghadachor,Glen,15.0,55.14468879999999,-7.841592528033099
6,Aghadaghly,Grianfort,7.0,55.1998623,-7.655744449631827
7,Aghadowey,Ballintra,28.0,54.58550365,-8.054880272424963
8,Aghadreenan,Rosnakill,44.0,55.1870958,-7.661065215491787
9,Aghafoy,Pettigoe,4.0,54.5475539,-7.849806223016571
10,Aghaglassan,Gleneely,65.0,55.21894355000001,-7.171859150735294
11,Aghalattive,Ards,48.0,55.14963335,-7.891492924517549
12,Aghalatty,Carraig Airt,36.0,55.1694336,-7.773479300000001
13,Aghangaddy Glebe,Rathmelton,127.0,55.01556755,-7.659640573148818
14,Aghanursan,Millford,29.0,55.08894315,-7.681312261732818
15,Aghasheil,Stranorlar,19.0,54.8125654,-7.7977984713853665
16,Aghatubbrid,Gleneely,15.0,55.25466745,-7.146550470122664
17,Aghavannan Far,Rathmullan,34.0,55.105521200000005,-7.54276521794036
18,Aghavannan Near,Rathmullan,23.0,55.102433999999995,-7.5393382602408705
19,Aghaveagh,Allt na Péiste,22.0,54.79666700000001,-7.885278
20,Aghawee,Clonleigh South,25.0,54.8156338,-7.541780371295457
21,Aghawoney,Ballyarr,30.0,55.04444455,-7.728409050145768
22,Aghayeevoge,Killybegs,112.0,54.6616599,-8.413179900638598
23,Aghilly and Lenynarnan,Buncrana Rural,107.0,55.13521445,-7.423406719919789
24,Aghlehard,Magheraboy,77.0,54.92816485,-7.660571801532298
25,Aghlem,Tullynaught,18.0,54.6556085,-8.024356804314346
26,Aghnahoo Glebe,Templecarn,29.0,54.53841725,-7.853469485544852
27,Aghnakeeragh,Raphoe,33.0,54.8662065,-7.618070875000003
28,Aghragh,Gleann Cholm Cille,48.0,54.650137150000006,-8.655825879732785
29,Aighan,Dunkineely,28.0,54.647157799999995,-8.38273177682711
30,Aighe,Gleann Gheis,29.0,54.737221999999996,-8.430833
31,Alla,Ballyshannon Rural,12.0,54.54030855,-8.169265044078589
32,Alt Lower,Urney West,45.0,54.766667000000005,-7.5833330000000005
33,Alt Upper,Urney West,95.0,54.765,-7.5913889999999995
34,Altadoo,Donegal,17.0,54.681360899999994,-8.161575299999999
35,Altaghaderry,Killea,461.0,54.98776170000001,-7.408973961033371
36,Altahalla,Straid,153.0,55.2448463,-7.409090700000001
37,Altaskin,St. Johnstown,24.0,54.93113320000001,-7.471662321285668
38,Altatraght,An Clochán,8.0,54.82797420000001,-8.021521757000263
39,Altcor,Bonnyglen,9.0,54.69471305,-8.288873413082689
40,Altilow,Haugh,40.0,54.70409115,-8.096118513539395
41,Altlahan,An Clochán,35.0,54.8580655,-7.960809200000001
42,Altnagapple,Maol Mosóg,7.0,54.728333,-8.376111
43,Altnapaste,Allt na Péiste,27.0,54.811803000000005,-7.930795
