,Unnamed: 0,townland,town,population,lat,lng,address
51,10146,Ardagh (ED Treantamucklagh),Treantaghmucklagh,49,54.9380494,-7.5350828,"Ardagh (ED Treantamucklagh), Treantaghmucklagh"
93,10200,Altashane or Cabadooey,Carndonagh,63,55.2627826,-7.3316796,"Altashane or Cabadooey, Carndonagh"
100,10213,Backlees,Stranorlar,17,54.8045069,-7.769133,"Backlees, Stranorlar"
178,10303,BallylaSt. (Raphoe South By),Castlefinn,45,54.805502,-7.546021,"BallylaSt. (Raphoe South By), Castlefinn"
191,10316,Ballymacavany,Pettigoe,15,54.5494414,-7.8321522,"Ballymacavany, Pettigoe"
216,10345,Ballynacarrick (ED Carrickboy),Carrickboy,35,54.498576,-8.203755,"Ballynacarrick (ED Carrickboy), Carrickboy"
245,10382,Barrack or Ballymagig,Killymasny,59,54.9335373,-7.8683719,"Barrack or Ballymagig, Killymasny"
276,10421,Birdstown,Clonleigh South,31,54.860833,-7.472778,"Birdstown, Clonleigh South"
282,10430,Blanket Nook (Raphoe North By),Castleforward,17,55.009437,-7.529919,"Blanket Nook (Raphoe North By), Castleforward"
319,10472,Brockagh (ED Treantamucklagh),Treantaghmucklagh,41,54.920732,-7.535989,"Brockagh (ED Treantamucklagh), Treantaghmucklagh"
336,10494,Calhame (ED Clonleigh South),Clonleigh South,27,54.829553,-7.546135,"Calhame (ED Clonleigh South), Clonleigh South"
341,10500,Calhame or Montgomery's fort,Convoy,20,54.875957,-7.674288,"Calhame or Montgomery's fort, Convoy"
345,10504,Camlin,Carrickboy,10,54.49497,-8.193467,"Camlin, Carrickboy"
372,10538,Carntressy,Templecarn,10,54.548934,-7.887174,"Carntressy, Templecarn"
381,10551,Carrick (ED Meenaclady),Mín an Chladaigh,341,55.139437,-8.23033,"Carrick (ED Meenaclady), Mín an Chladaigh"
386,10556,Carrickadawson,Feddyglass,35,54.903338,-7.55636,"Carrickadawson, Feddyglass"
394,10567,Carrickbrack (Raphoe North By),Convoy,27,54.849722,-7.643333,"Carrickbrack (Raphoe North By), Convoy"
395,10568,Carrickbrack (Raphoe South By),Convoy,45,54.849722,-7.643333,"Carrickbrack (Raphoe South By), Convoy"
402,10576,Carricknahorna,Cavangarden,48,54.9616755,-8.5017229,"Carricknahorna, Cavangarden"
409,10584,Carrickybressil,Millford,8,55.081842,-7.72983,"Carrickybressil, Millford"
412,10588,Carrontlieve,Fahan,277,55.083143,-7.46137,"Carrontlieve, Fahan"
437,10613,Carrowreagh or Craignacally,Ballyliffin,68,55.298733,-7.337069,"Carrowreagh or Craignacally, Ballyliffin"
469,10648,Cashelshanaghan,Castlewray,189,54.999178,-7.66122,"Cashelshanaghan, Castlewray"
470,10649,Casheltown (ED Corkemore),Corkermore,37,54.659628,-8.36833,"Casheltown (ED Corkemore), Corkermore"
493,10677,Cherrymount,Carrickboy,18,54.492014,-8.155031,"Cherrymount, Carrickboy"
495,10679,Churchland Quarters,Carndonagh,1919,55.253038,-7.261102,"Churchland Quarters, Carndonagh"
533,10731,Clonbara,Na Croisbhealaí,60,55.120745,-8.083096,"Clonbara, Na Croisbhealaí"
564,10770,Cool Beg,Ballyshannon Rural,19,54.542424,-8.221009,"Cool Beg, Ballyshannon Rural"
606,10823,Corraness Glebe,Ard an Rátha,7,54.764906,-8.341205,"Corraness Glebe, Ard an Rátha"
