,Unnamed: 0,townland,town,population,lat,lng
51,10146,Ardagh (ED Treantamucklagh),Treantaghmucklagh,49,,
73,10173,Ardmore,Kilderry,359,,
93,10200,Altashane or Cabadooey,Carndonagh,63,,
100,10213,Backlees,Stranorlar,17,,
142,10263,Ballybrack,Moville,213,,
178,10303,BallylaSt. (Raphoe South By),Castlefinn,45,,
191,10316,Ballymacavany,Pettigoe,15,,
216,10345,Ballynacarrick (ED Carrickboy),Carrickboy,35,,
245,10382,Barrack or Ballymagig,Killymasny,59,,
276,10421,Birdstown,Clonleigh South,31,,
279,10427,Blackrock,Clonleigh North,10,,
282,10430,Blanket Nook (Raphoe North By),Castleforward,17,,
319,10472,Brockagh (ED Treantamucklagh),Treantaghmucklagh,41,,
320,10473,Brookfield,Donegal,162,,
330,10488,Burnside,Figart,25,,
336,10494,Calhame (ED Clonleigh South),Clonleigh South,27,,
341,10500,Calhame or Montgomery's fort,Convoy,20,,
345,10504,Camlin,Carrickboy,10,,
346,10505,Camp,Ballyshannon Rural,214,,
347,10507,Cappagh,Gleann Cholm Cille,46,,
372,10538,Carntressy,Templecarn,10,,
381,10551,Carrick (ED Meenaclady),Mín an Chladaigh,341,,
386,10556,Carrickadawson,Feddyglass,35,,
394,10567,Carrickbrack (Raphoe North By),Convoy,27,,
395,10568,Carrickbrack (Raphoe South By),Convoy,45,,
402,10576,Carricknahorna,Cavangarden,48,,
409,10584,Carrickybressil,Millford,8,,
412,10588,Carrontlieve,Fahan,277,,
437,10613,Carrowreagh or Craignacally,Ballyliffin,68,,
443,10619,Carthage,Carthage,181,,
469,10648,Cashelshanaghan,Castlewray,189,,
470,10649,Casheltown (ED Corkemore),Corkermore,37,,
482,10665,Castletown,St. Johnstown,34,,
493,10677,Cherrymount,Carrickboy,18,,
494,10678,Church Hill,Mín an Lábáin,77,,
495,10679,Churchland Quarters,Carndonagh,1919,,
507,10697,Clare,Castlecary,140,,
533,10731,Clonbara,Na Croisbhealaí,60,,
543,10743,Clonmore,Ards,23,,
564,10770,Cool Beg,Ballyshannon Rural,19,,
581,10790,Cor,Leitir Mhic an Bhaird,18,,
606,10823,Corraness Glebe,Ard an Rátha,7,,
609,10827,Corveen (ED Meenaclady),Mín an Chladaigh,6,,
612,10831,Court,Loch Caol,30,,
643,10871,Croagh (ED Corkemore),Corkermore,34,,
660,10908,Cronaguiggy,Machaire Chlochair,35,,
686,10946,Curragh,Corravaddy,22,,
693,10954,Cuskry Glebe,Cill Charthaigh,12,,
725,10999,Devlin or Barr of Ballyconnell,Na Croisbhealaí,10,,
742,11021,Dooish (ED Treantamucklagh),Treantaghmucklagh,51,,
743,11022,Doon,An Tearmann,39,,
749,11029,Dore,Machaire Chlochair,272,,
763,11045,Dromore Little,Feddyglass,37,,
775,11057,Drumalough or Lough Hill,Gleann Gheis,10,,
791,11074,Drumavohy (ED Malin),Malin,18,,
822,11109,Drumcoe,Tantallon,64,,
869,11167,Drummacaladdery,Creamhghort,11,,
870,11168,Drummacanoo,Templedouglas,108,,
874,11173,Drummeenanagh (ED Lough Eask),Loch Iascaigh,24,,
877,11176,Drummenny Upper,Tullynaught,10,,
878,11177,Drummucklagh,Feddyglass,40,,
920,11238,Dundee,St. Johnstown,250,,
933,11253,Dunmore (ED Cross Roads),Na Croisbhealaí,127,,
943,11263,Eden,Dawros,18,,
954,11278,Elaghbeg,Birdstown,178,,
1003,11337,Fraugher,Ards,65,,
1010,11345,Galwolie (ED Cloghan),An Clochán,26,,
1029,11368,Glackadrumman,Culdaff,30,,
1030,11370,Glasalt or Treanfasy,Carndonagh,83,,
1033,11373,Glashagh Beg,An Clochán,15,,
1034,11374,Glashagh More,An Clochán,19,,
1044,11388,Glebe (ED Clonleigh North),Clonleigh North,18,,
1053,11406,Glen,Tantallon,20,,
1066,11424,Glengad,Carthage,543,,
1090,11455,Gola,Machaire Chlochair,5,,
1097,11464,Gort (ED Straid),Straid,4,,
1122,11501,Gortmacall More,Millford,32,,
1145,11531,Grange (ED Inch Island),Inch Island,120,,
1151,11538,Greenfield,Convoy,105,,
1155,11542,Greenhills,Stranorlar,27,,
1158,11545,Grovehall or Newtowngrove,Ballyarr,33,,
1179,11588,Keadew Lower,Clogher,15,,
1197,11611,Kilconnell or Glebe,Kilmacrenan,88,,
1209,11625,Killindarragh,Anagaire,30,,
1210,11627,Killavee,Grianfort,11,,
1211,11628,Killeen,Carrickboy,31,,
1218,11635,Killultan,Dunkineely,7,,
1227,11646,Killynure or Wilson'sfort,Convoy,127,,
1234,11653,Kilmore,Gartán,26,,
1270,11700,Knockfair,Stranorlar,20,,
1297,11737,Largymore,An Leargaidh Mhór,11,,
1318,11761,Legnabraid or Cunninghamstown,Clonleigh South,21,,
1357,11810,Lisfannan (ED Fahan),Fahan,219,,
1361,11814,Lismintan or Ballyruddelly,Ballintra,98,,
1406,11884,Maas,Maas,59,,
1434,11918,Magheranaul,Ballyliffin,52,,
1441,11926,Magheravall or Midcut,Lettermore,12,,
1452,11945,Massreagh,Kilmacrenan,146,,
1454,11951,Meenabollagan,An Machaire,59,,
1458,11957,Meenacargagh or Raneany Barr,Laghy,14,,
1468,11978,Meenadoan,Baile na Finne,20,,
1542,12105,Millbrook,Rathmullan,12,,
1562,12129,Moneymore (ED Dunlewy),Dún Lúiche,33,,
1568,12135,Monfad,Newtown Cunningham,59,,
1572,12140,Monreagh or Barr of Kilmackilvenny,Fahan,73,,
1573,12142,Mooneennahasragh,An Clochán,19,,
1577,12146,Mossy Glen,Greencastle,49,,
1611,12189,Mullans (ED Ballyshannon Rural),Ballyshannon Rural,39,,
1636,12216,Newrow (ED Clonleigh North),Clonleigh North,15,,
1645,12229,Oldtown,Letterkenny Rural,440,,
1672,12269,Procklis (ED Kilmacrenan),Kilmacrenan,49,,
1693,12292,Rath,Ballintra,23,,
1698,12300,Rathmore,Bundoran Rural,75,,
1720,12328,Roes,Eanymore,15,,
1729,12338,Rosepenna,Ros Goill,133,,
1760,12374,Rushyhill,Gleneely,18,,
1811,12445,Springhill,Clonleigh South,24,,
1844,12498,Summerhill,Donegal,43,,
1887,12559,Tirnagushoge or Bicketstown,Cloghard,29,,
1906,12584,Tor,Machaire Chlochair,14,,
1911,12589,Townparks (ED Clonleigh South),Clonleigh South,59,,
1923,12602,Tromaty (Inishowen East By),Whitecastle,170,,
1924,12603,Tromaty (Inishowen West By),Whitecastle,88,,
1935,12614,Tullanascreen,Templedouglas,9,,
1941,12623,Tullybeg (ED Ballyarr),Ballyarr,20,,
1945,12627,Tullymore (ED Ballyarr),Ballyarr,6,,
1947,12629,Tullymore (ED Maas),Maas,32,,
1972,12659,Tullyleague or Tullybrook,Tullynaught,35,,
1998,12693,Urbalshinny (ED Ballintra),Ballintra,13,,
2011,12711,Wood,Clonleigh South,12,,
2015,12716,Woodland,Castlewray,279,,
2016,12717,Woodlands,Feddyglass,19,,
