,townland,town,population,lat,lng
10086,Abbey Island,Ballyshannon Rural,10,54.5100562,-8.195736816089788
10087,Abbeylands,Ballyshannon Rural,121,54.5130054,-8.204606285120382
10088,Adderville,Straid,54,55.2391118,-7.434771016190289
10089,Adderwal,Gleann Léithín,9,54.90582095,-8.16839922450579
10090,Admiran,Stranorlar,364,54.81115715,-7.765546508740297
10091,Aghadachor,Glen,15,55.1446888,-7.8415925280331
10092,Aghadaghly,Grianfort,7,55.1998623,-7.655744449631827
10093,Aghadowey,Ballintra,28,54.58550365,-8.054880272424963
10094,Aghadreenan,Rosnakill,44,55.187095799999994,-7.661065215491787
10095,Aghafoy,Pettigoe,4,54.5475539,-7.84980622301657
10096,Aghaglassan,Gleneely,65,55.218943550000006,-7.171859150735294
10098,Aghalattive,Ards,48,55.14963335,-7.89149292451755
10099,Aghalatty,Carraig Airt,36,55.1694336,-7.7734793
10102,Aghangaddy Glebe,Rathmelton,127,55.01556755,-7.659640573148819
10103,Aghanursan,Millford,29,55.08894315,-7.681312261732819
10104,Aghasheil,Stranorlar,19,54.8125654,-7.797798471385368
10105,Aghatubbrid,Gleneely,15,55.25466745,-7.146550470122664
10106,Aghavannan Far,Rathmullan,34,55.1055212,-7.54276521794036
10107,Aghavannan Near,Rathmullan,23,55.102434,-7.539338260240871
10108,Aghaveagh,Allt na Péiste,22,54.796667,-7.885278
10109,Aghawee,Clonleigh South,25,54.8156338,-7.541780371295458
10110,Aghawoney,Ballyarr,30,55.04444455,-7.728409050145768
10111,Aghayeevoge,Killybegs,112,54.661659900000004,-8.413179900638596
10112,Aghilly and Lenynarnan,Buncrana Rural,107,55.13521445,-7.4234067199197895
10113,Aghlehard,Magheraboy,77,54.92816485,-7.660571801532299
10114,Aghlem,Tullynaught,18,54.6556085,-8.024356804314346
10115,Aghnahoo Glebe,Templecarn,29,54.538417249999995,-7.853469485544851
10116,Aghnakeeragh,Raphoe,33,54.866206500000004,-7.618070875000003
10117,Aghragh,Gleann Cholm Cille,48,54.650137150000006,-8.655825879732785
10118,Aighan,Dunkineely,28,54.6471578,-8.38273177682711
10119,Aighe,Gleann Gheis,29,54.737222,-8.430833
10120,Alla,Ballyshannon Rural,12,54.54030855,-8.16926504407859
10121,Alt Lower,Urney West,45,54.766667,-7.583333
10122,Alt Upper,Urney West,95,54.765,-7.591389
10123,Altadoo,Donegal,17,54.6813609,-8.1615753
10125,Altaghaderry,Killea,461,54.9877617,-7.40897396103337
10126,Altahalla,Straid,153,55.2448463,-7.4090907
10128,Altaskin,St. Johnstown,24,54.931133200000005,-7.471662321285667
10129,Altatraght,An Clochán,8,54.8279742,-8.021521757000263
10131,Altcor,Bonnyglen,9,54.694713050000004,-8.288873413082687
10132,Altilow,Haugh,40,54.704091149999996,-8.096118513539395
10134,Altlahan,An Clochán,35,54.8580655,-7.9608092
10135,Altnagapple,Maol Mosóg,7,54.728333,-8.376111
10136,Altnapaste,Allt na Péiste,27,54.811803,-7.930795
10137,Annagary,Anagaire,383,55.0216691,-8.3178413
10138,Annagh,Straid,167,55.2777022,-7.4104637591375795
10139,Annaslee,Fahan,17,55.10141215,-7.390992169758949
10140,Anny Far and Near,Cnoc Colbha,27,55.153211,-7.558757793004162
10141,Aphort (Aran Island),Árainn Mhór,49,54.976389,-8.519444
10144,Ardaganny,Corravaddy,42,54.9189384,-7.7359001
10145,Ardagh (ED Ballyliffin),Ballyliffin,81,55.2869319,-7.394015437224294
10146,Ardagh (ED Treantamucklagh),Treantaghmucklagh,49,,
10147,Ardaghy Glebe,Inver,58,54.65575215,-8.287792948101368
10148,Ardahee,Ballymacool,11,54.9335032,-7.7929635
10149,Ardara,Ard an Rátha,548,54.7636255,-8.4105918
10150,Ardaravan,Buncrana Urban,2229,55.1330586,-7.448716563873077
10151,Ardarawer,Castlewray,566,54.9710662,-7.6990895297450805
10152,Ardatowel,Tawnawully,41,54.69973805,-8.016812718512888
10155,Ardbane (ED Eanymore),Eanymore,7,54.718788599999996,-8.14749318175793
10156,Ardbane (ED Rosguill),Ros Goill,23,55.21786285,-7.860806450000007
10159,Ardee,Newtown Cunningham,44,54.996543849999995,-7.552686966744836
10160,Ardeelan Lower,Ballintra,21,54.5495041,-8.203672908884037
10162,Ardeevin,Tawnawully,37,54.691111,-8.019444
10163,Ardeskin,Donegal,201,54.649672550000005,-8.095967585048621
10164,Ardfarn,Bundoran Rural,150,54.4688255,-8.25313255414829
10165,Ardgillew,Cavangarden,12,54.5260219,-8.156463413906431
10166,Ardglass,Grianfort,35,55.2049442,-7.642207102185747
10167,Ardinawark,Tawnawully,75,54.7062157,-7.983915263387098
10168,Ardlenagh,Donegal,18,54.633151049999995,-8.119322770051614
10169,Ardlougher,Maol Mosóg,10,54.8396829,-8.3919185
10170,Ardloughill,Carrickboy,32,54.475092700000005,-8.171089211663855
10171,Ardmalin,Ardmalin,366,55.366231,-7.35879537696078
10172,Ardmeen,Cró Bheithe,21,54.977778,-8.26
10173,Ardmore,Kilderry,359,,
10174,Ardnableask,Tawnawully,10,54.6967887,-8.011708664038878
10175,Ardnaditian,Manorcunningham,41,54.9850327,-7.5944562719747
10176,Ardnagalliagh,Ballintra,10,54.58044135,-8.14341762526569
10177,Ardnagannagh,Gleneely,28,54.7879729,-7.6744767531019376
10178,Ardnagappary,Machaire Chlochair,327,55.0819343,-8.3163635
10180,Ardnaglass (ED Clonleigh South),Clonleigh South,25,54.815278,-7.549722
10181,Ardnaglass (ED Pettigoe),Pettigoe,80,54.5524709,-7.837418815378461
10184,Ardnasool,Clonleigh North,38,54.8451786,-7.560387147728735
10185,Ardpattan,Cavangarden,9,54.531795200000005,-8.163508100661904
10186,Ardrumman,Castlewray,98,55.0074992,-7.630484967444117
10188,Ards Beg,Gort an Choirce,316,55.11396085,-8.174159471703298
10189,Ards Big,Rathmelton,17,55.02032215,-7.684558763712683
10190,Ards Little,Rathmelton,22,55.018164999999996,-7.702635971438026
10191,Ards More,Gort an Choirce,88,55.12284765,-8.141378925077813
10194,Arduns,Machaire Chlochair,50,55.0302961,-8.21340000072492
10195,Ardvally,Maol Mosóg,12,54.7398068,-8.3806388
10196,Ardvarnock Glebe,Figart,19,54.87253245,-7.647971871900389
10197,Arlands,Inis Mhic an Doirn,75,55.00309915,-8.4344187863665
10198,Arryheernabin,Fánaid Thuaidh,13,55.27,-7.640556
